127.0.0.1, 2013-11-02 22:48:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000262
127.0.0.1, 2013-11-02 22:48:33, POST, /admin/default/index, HTTP/1.1, 303, 0.039807
127.0.0.1, 2013-11-02 22:48:33, GET, /admin/default/site, HTTP/1.1, 200, 0.084011
127.0.0.1, 2013-11-02 22:48:33, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.000600
127.0.0.1, 2013-11-02 22:48:33, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.000280
127.0.0.1, 2013-11-02 22:48:34, POST, /admin/default/check_version, HTTP/1.1, 200, 0.528121
127.0.0.1, 2013-11-02 22:48:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2013-11-02 22:48:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000116
127.0.0.1, 2013-11-02 22:48:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2013-11-02 22:48:43, GET, /admin/default/upgrade_web2py, HTTP/1.1, 200, 0.062937
127.0.0.1, 2013-11-02 22:48:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2013-11-02 22:49:13, POST, /admin/default/upgrade_web2py, HTTP/1.1, 303, 27.173298
127.0.0.1, 2013-11-02 22:49:14, GET, /admin/default/site, HTTP/1.1, 500, 0.730716
127.0.0.1, 2013-11-02 22:49:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2013-11-02 22:49:18, GET, /admin/default/ticket/admin/127.0.0.1.2013-11-02.22-49-13.32d5883c-21b8-4ef1-8b5d-fad97b6ad1d2, HTTP/1.1, 500, 0.033187
127.0.0.1, 2013-11-02 22:49:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000219
127.0.0.1, 2013-11-02 22:49:23, GET, /admin/default/upgrade_web2py, HTTP/1.1, 500, 0.028879
127.0.0.1, 2013-11-02 22:49:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2013-11-02 22:49:25, GET, /admin/default/upgrade_web2py, HTTP/1.1, 500, 0.034102
